0.0,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,-0.0826,-0.0062,-0.2514,-0.0066,0.0061,0.0068,
0.012,339.1041,943.2924,775.1259,-89.9998,0.0009,-179.9999,0.0883,-0.041,0.205,-0.0045,0.0074,-0.0013,
0.024,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,-0.0406,-0.0581,-0.3904,-0.0073,0.0108,0.0011,
0.036,339.1078,943.2936,775.1259,-90.0,0.0013,-179.9998,-0.0344,-0.0869,-0.0895,-0.0047,0.0073,0.0015,
0.048,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,-0.0147,-0.1083,-0.0527,-0.008,0.0038,-0.0043,
0.06,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,-0.1167,-0.1283,-0.1768,-0.0111,0.01,-0.001,
0.072,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,-0.1573,-0.0816,0.0408,-0.0075,0.0037,-0.0004,
0.084,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,0.0543,-0.0661,-0.2668,-0.0106,0.0046,-0.0039,
0.096,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,-0.042,-0.1425,-0.136,-0.0099,0.0083,-0.0019,
0.108,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,-0.2176,0.0677,0.0386,-0.0146,0.0142,-0.0021,
0.12,339.1041,943.2924,775.1259,-89.9998,0.0009,-179.9999,-0.0542,-0.0277,-0.0454,-0.0025,0.0016,0.0007,
0.132,339.1061,943.2891,775.1259,-89.9999,0.0005,179.9999,-0.0685,-0.0744,-0.1701,-0.0149,0.0068,0.0025,
0.144,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,-0.1086,0.0257,0.0364,-0.0063,0.003,-0.0035,
0.156,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,-0.1655,-0.022,-0.3866,-0.0111,0.0097,0.001,
0.168,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,-0.0201,-0.0783,-0.2252,-0.0106,0.0072,-0.0049,
0.18,339.1063,943.2894,775.1262,-90.0,0.0009,-179.9999,-0.113,-0.0503,-0.1758,-0.0086,0.0074,-0.0009,
0.192,339.107,943.2913,775.1259,-90.0,0.0009,-179.9999,-0.0578,-0.0753,0.0418,-0.0061,0.005,0.0021,
0.204,339.1064,943.2897,775.124,-90.0,0.0007,180.0,0.0096,-0.1182,0.1164,-0.0083,0.0051,-0.0054,
0.216,339.1035,943.2907,775.124,-89.9998,0.0007,180.0,-0.082,-0.089,-0.0028,-0.0047,0.0062,0.0013,
0.228,339.1064,943.2897,775.124,-90.0,0.0007,180.0,-0.0953,-0.0578,-0.2161,-0.0147,0.0105,0.0008,
0.24,339.1064,943.2897,775.124,-90.0,0.0007,180.0,-0.0386,-0.1249,-0.1393,-0.0067,0.0033,-0.0051,
0.252,339.1064,943.2897,775.124,-90.0,0.0007,180.0,-0.092,-0.0341,-0.2601,-0.0114,0.0088,0.0001,
0.264,339.1064,943.2897,775.124,-90.0,0.0007,180.0,-0.0114,-0.1616,0.0297,-0.0043,0.0046,-0.0054,
0.276,339.1064,943.2897,775.124,-90.0,0.0007,180.0,-0.162,-0.0745,-0.3386,-0.0103,0.0088,0.0051,
0.288,339.1029,943.2891,775.122,-89.9998,0.0006,179.9999,-0.0365,-0.0918,-0.0009,-0.0093,0.0031,0.0014,
0.3,339.1029,943.2891,775.122,-89.9998,0.0006,179.9999,-0.0955,0.0426,-0.2607,-0.015,0.0062,-0.0022,
0.312,339.1052,943.2864,775.1201,-90.0,0.0004,179.9999,0.0072,-0.1181,-0.1796,-0.0097,0.0061,-0.0025,
0.324,339.106,943.2886,775.1201,-90.0,0.0008,-180.0,-0.1763,-0.0149,-0.0338,-0.0066,0.0005,0.0065,
0.336,339.1048,943.2853,775.1162,-90.0,0.0004,179.9999,-0.0354,-0.0139,-0.0895,-0.0068,0.0022,-0.0008,
0.348,339.1036,943.2821,775.1123,-90.0,0.0001,179.9998,-0.0685,-0.1252,-0.2165,-0.0126,0.0103,0.0016,
0.36,339.103,943.2804,775.1103,-90.0,-0.0001,179.9997,-0.032,-0.0634,0.082,-0.0045,0.0039,0.0005,
0.372,339.1018,943.2771,775.1064,-90.0,-0.0004,179.9996,-0.1165,-0.0747,-0.3851,-0.0118,0.0092,0.0027,
0.384,339.1001,943.2722,775.1006,-90.0,-0.0009,179.9994,-0.0829,-0.1468,-0.0463,-0.0054,0.0046,0.0005,
0.396,339.0991,943.2695,775.0947,-90.0,-0.001,179.9994,-0.0861,-0.1804,-0.0507,-0.0073,0.0022,-0.0036,
0.408,339.095,943.2672,775.0909,-89.9998,-0.0013,179.9992,-0.0609,-0.0517,0.1246,-0.0088,0.0033,-0.0012,
0.42,339.097,943.2638,775.0827,-90.0,-0.0016,179.9991,-0.0104,-0.2439,-0.1344,-0.0052,0.0031,-0.0002,
0.432,339.0953,943.2588,775.0769,-90.0,-0.0021,179.999,-0.1679,-0.1549,-0.2994,-0.0143,0.0107,0.0024,
0.444,339.0949,943.2578,775.073,-90.0,-0.0021,179.999,0.0587,-0.0938,0.0728,-0.008,0.0028,-0.0061,
0.456,339.0939,943.2551,775.0671,-90.0,-0.0022,179.9989,-0.1928,-0.0557,-0.298,-0.0145,0.0133,0.0033,
0.468,339.0924,943.2599,775.061,-89.9988,-0.0016,179.9991,0.0576,-0.1455,-0.0115,-0.0086,0.0046,-0.0044,
0.48,339.0951,943.2584,775.0551,-90.0001,-0.0014,179.9992,-0.1926,-0.0617,-0.2573,-0.0146,0.01,0.0008,
0.492,339.0956,943.2599,775.0489,-90.0001,-0.0012,179.9993,-0.0588,-0.0797,-0.0037,-0.0061,0.0034,-0.0003,
0.504,339.0962,943.2614,775.0427,-90.0001,-0.001,179.9994,-0.1225,-0.0447,-0.2607,-0.016,0.0116,-0.0008,
0.516,339.0975,943.2651,775.0366,-90.0002,-0.0004,179.9996,-0.0329,-0.1186,-0.01,-0.0022,0.0057,-0.0028,
0.528,339.0998,943.2714,775.0281,-90.0002,0.0004,179.9999,-0.1416,-0.0049,-0.128,-0.014,0.0093,0.0016,
0.54,339.0989,943.269,775.02,-90.0002,0.0001,179.9998,-0.0041,-0.1303,-0.0526,0.0021,0.0062,-0.0011,
